z_volt	Amp	Phase	DC	Amp_direct	Phase_direct	X	Y
-1.472541	2.221598	0.081509	-2.229347	2.864816	0.136066	2.214223	0.180879
-1.467541	1.144881	0.235632	-2.243210	2.724251	-0.066075	1.113245	0.267281
-1.462541	0.808389	0.396366	-2.255461	0.265347	-1.584556	0.745715	0.312094
-1.457541	0.838792	0.395363	-2.267712	0.943020	0.764414	0.774085	0.323055
-1.452541	2.356334	0.131183	-2.247723	0.593222	-7.115293	2.336088	0.308225
-1.447541	3.152644	0.046960	-2.226445	1.629398	0.799555	3.149168	0.147995
-1.442541	3.448405	-0.039085	-2.201943	2.634625	-0.622206	3.445772	-0.134745
-1.437541	3.380915	-0.054949	-2.187113	3.310366	-0.073168	3.375812	-0.185684
-1.432541	3.466868	-0.103402	-2.165835	3.471563	-0.123784	3.448351	-0.357843
-1.427541	3.528247	-0.093517	-2.170671	3.536687	-0.333985	3.512830	-0.329472
-1.422541	3.693388	-0.084681	-2.184856	3.507349	-0.277566	3.680153	-0.312385
-1.417541	3.811836	-0.057371	-2.192916	3.460279	-0.223404	3.805565	-0.218568
-1.412541	3.933179	-0.063810	-2.203555	3.746567	-0.396207	3.925174	-0.250807
-1.407541	4.078152	-0.054096	-2.214194	3.329387	-0.299489	4.072186	-0.220502
-1.402541	4.112298	-0.034106	-2.222254	4.067350	-0.327860	4.109907	-0.140226
-1.397541	4.043741	-0.056153	-2.232571	3.279416	-0.554181	4.037367	-0.226950
-1.392541	2.673309	-0.055981	-2.238696	4.064771	-0.232431	2.669122	-0.149575
-1.387541	3.659335	-0.027928	-2.245789	2.002409	-1.132880	3.657908	-0.102183
-1.382541	4.283688	-0.091869	-2.216773	3.308754	-0.059627	4.265624	-0.392984
-1.377541	4.681382	-0.120670	-2.191626	4.079924	-0.520007	4.647341	-0.563530
-1.372541	5.464095	-0.154310	-2.163900	4.787583	-0.593836	5.399169	-0.839823
-1.367541	5.835178	-0.167861	-2.158742	5.461069	-0.292396	5.753161	-0.974906
-1.362541	5.869190	-0.151635	-2.160354	6.020751	-0.570946	5.801843	-0.886570
-1.357541	5.814819	-0.160305	-2.163900	5.786368	-0.342045	5.740265	-0.928159
-1.352541	5.747310	-0.176147	-2.160999	6.171633	-0.532903	5.658376	-1.007146
-1.347541	6.003073	-0.175546	-2.159387	5.808936	-0.390727	5.910814	-1.048412
-1.342541	6.117624	-0.177899	-2.155841	6.532396	-0.534515	6.021073	-1.082586
-1.337541	5.908831	-0.171173	-2.156485	5.885344	-0.440053	5.822477	-1.006501
-1.332541	5.700184	-0.180953	-2.158742	6.529172	-0.433605	5.607115	-1.025845
-1.327541	6.139043	-0.162193	-2.155841	5.705769	-0.542897	6.058472	-0.991349
-1.322541	6.197474	-0.173364	-2.150360	6.697787	-0.322701	6.104574	-1.069046
-1.317541	6.344992	-0.166975	-2.151972	6.330253	-0.589000	6.256746	-1.054538
-1.312541	6.346042	-0.175970	-2.150037	6.680055	-0.291107	6.248041	-1.110957
-1.307541	6.309472	-0.164297	-2.150360	6.550773	-0.569011	6.224506	-1.031970
-1.302541	6.283079	-0.164057	-2.151005	6.502091	-0.264348	6.198715	-1.026167
-1.297541	6.162365	-0.160037	-2.152939	6.560445	-0.570301	6.083619	-0.981999
-1.292541	6.210529	-0.160520	-2.153584	6.263839	-0.294008	6.130689	-0.992638
-1.287541	6.036364	-0.171423	-2.154229	6.609772	-0.545154	5.947889	-1.029714
-1.282541	6.334445	-0.169630	-2.148425	6.095870	-0.380733	6.243528	-1.069368
-1.277541	6.364687	-0.181368	-2.144234	7.048556	-0.525165	6.260293	-1.148033
-1.272541	6.413309	-0.183402	-2.142945	6.319291	-0.475194	6.305751	-1.169633
-1.267541	6.420036	-0.177389	-2.142622	7.163008	-0.449725	6.319291	-1.132880
-1.262541	6.450379	-0.174718	-2.142945	6.359913	-0.541930	6.352176	-1.121274
-1.257541	6.641194	-0.175513	-2.142622	7.197505	-0.350105	6.539167	-1.159639
-1.252541	6.401744	-0.183328	-2.143589	6.449862	-0.632201	6.294467	-1.167054
-1.247541	6.590142	-0.183749	-2.141333	6.987623	-0.238556	6.479201	-1.204129
-1.242541	6.545859	-0.164700	-2.142945	6.667159	-0.651867	6.457278	-1.073237
-1.237541	6.492126	-0.177416	-2.145201	6.828036	-0.314642	6.390219	-1.145776
